# Class	Pfam Accession	Family	Summary
# 
Other Biosynthetic	PF06114		Domain of unknown function (DUF955)
Other Biosynthetic	PF02567		Phenazine biosynthesis-like protein
Other Biosynthetic	PF07179		SseB protein
Other Biosynthetic	PF11239		Protein of unknown function (DUF3040)
Other Biosynthetic	PF08803		Putative mono-oxygenase ydhR
Other Biosynthetic	PF02581		Thiamine monophosphate synthase/TENI
Other Biosynthetic	PF06147		Protein of unknown function (DUF968)
Other Biosynthetic	PF05685		Protein of unknown function (DUF820)
Other Biosynthetic	PF00883		Cytosol aminopeptidase family, catalytic domain
Other Biosynthetic	PF02979		Nitrile hydratase, alpha chain
Other Biosynthetic	PF06314		Acetoacetate decarboxylase (ADC)
Other Biosynthetic	PF11954		Domain of unknown function (DUF3471)
Other Biosynthetic	PF02219		Methylenetetrahydrofolate reductase
Other Biosynthetic	PF04715		Anthranilate synthase component I, N terminal region
Other Biosynthetic	PF11946		Domain of unknown function (DUF3463)
Other Biosynthetic	PF00590		Tetrapyrrole (Corrin/Porphyrin) Methylases
Other Biosynthetic	PF02085		Class III cytochrome C family
Other Biosynthetic	PF02882		Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
Other Biosynthetic	PF04879		Molybdopterin oxidoreductase Fe4S4 domain
Other Biosynthetic	PF01799		[2Fe-2S] binding domain
Other Biosynthetic	PF00763		Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
Other Biosynthetic	PF02812		Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
Other Biosynthetic	PF06821		Alpha/Beta hydrolase family of unknown function (DUF1234)
Other Biosynthetic	PF10439		Bacteriocin class II with double-glycine leader peptide
Other Biosynthetic	PF11808		Domain of unknown function (DUF3329)
Other Biosynthetic	PF11812		Domain of unknown function (DUF3333)
Other Biosynthetic	PF07627		Protein of unknown function (DUF1588)
Other Biosynthetic	PF03552		Cellulose synthase
Other Biosynthetic	PF02441		Flavoprotein
Other Biosynthetic	PF03848		Tellurite resistance protein TehB
Other Biosynthetic	PF11026		Protein of unknown function (DUF2721)
Other Biosynthetic	PF07631		Protein of unknown function (DUF1592)
Other Biosynthetic	PF00463		Isocitrate lyase family
Other Biosynthetic	PF00676		Dehydrogenase E1 component
Other Biosynthetic	PF05401		Nodulation protein S (NodS)
Other Biosynthetic	PF00206		Lyase
Other Biosynthetic	PF00682		HMGL-like
Other Biosynthetic	PF11203		Protein of unknown function (DUF2984)
Other Biosynthetic	PF07586		Protein of unknown function (DUF1552)
Other Biosynthetic	PF01923		Cobalamin adenosyltransferase
Other Biosynthetic	PF06305		Protein of unknown function (DUF1049)
Other Biosynthetic	PF03009		Glycerophosphoryl diester phosphodiesterase family
Other Biosynthetic	PF01551		Peptidase family M23
Other Biosynthetic	PF04892		VanZ like family
Other Biosynthetic	PF03062		MBOAT family
Other Biosynthetic	PF02629		CoA binding domain
Other Biosynthetic	PF09848		Uncharacterized conserved protein (DUF2075)
Other Biosynthetic	PF01073		3-beta hydroxysteroid dehydrogenase/isomerase family
Other Biosynthetic	PF04030		D-arabinono-1,4-lactone oxidase
Other Biosynthetic	PF02384		N-6 DNA Methylase
Other Biosynthetic	PF01263		Aldose 1-epimerase
Other Biosynthetic	PF00578		AhpC/TSA family
Other Biosynthetic	PF02230		Phospholipase/Carboxylesterase
Other Biosynthetic	PF11194		Domain of unknown function (DUF2825)
Other Biosynthetic	PF11844		Domain of unknown function (DUF3364)
Other Biosynthetic	PF00027		Cyclic nucleotide-binding domain
Other Biosynthetic	PF10503		Esterase PHB depolymerase
Other Biosynthetic	PF02517		CAAX amino terminal protease family
Other Biosynthetic	PF11148		Protein of unknown function (DUF2922)
Other Biosynthetic	PF07637		Protein of unknown function (DUF1595)
Other Biosynthetic	PF01177		Asp/Glu/Hydantoin racemase
Other Biosynthetic	PF02915		Rubrerythrin
Other Biosynthetic	PF06028		Alpha/beta hydrolase of unknown function (DUF915)
Other Biosynthetic	PF11922		Domain of unknown function (DUF3440)
Other Biosynthetic	PF12256		Insecticide toxin TcdB middle/N-terminal region
Other Biosynthetic	PF02900		Catalytic LigB subunit of aromatic ring-opening dioxygenase
Other Biosynthetic	PF11906		Protein of unknown function (DUF3426)
Other Biosynthetic	PF02288		Dehydratase medium subunit
Other Biosynthetic	PF00596		Class II Aldolase and Adducin N-terminal domain
Other Biosynthetic	PF00485		Phosphoribulokinase / Uridine kinase family
Other Biosynthetic	PF01764		Lipase (class 3)
Other Biosynthetic	PF02308		MgtC family
Other Biosynthetic	PF02153		Prephenate dehydrogenase
Other Biosynthetic	PF01670		Glycosyl hydrolase family 12
Other Biosynthetic	PF04989		Cephalosporin hydroxylase
Other Biosynthetic	PF02401		LytB protein
Other Biosynthetic	PF06406		StbA protein
Other Biosynthetic	PF11920		Protein of unknown function (DUF3438)
Other Biosynthetic	PF00793		DAHP synthetase I family
Other Biosynthetic	PF05045		Rhamnan synthesis protein F
Other Biosynthetic	PF01066		CDP-alcohol phosphatidyltransferase
Other Biosynthetic	PF02738		Molybdopterin-binding domain of aldehyde dehydrogenase
Other Biosynthetic	PF03781		Formylglycine-generating sulfatase enzyme
Other Biosynthetic	PF03171		2OG-Fe(II) oxygenase superfamily
Other Biosynthetic	PF04991		LICD Protein Family
Other Biosynthetic	PF10082		Uncharacterized protein conserved in bacteria (DUF2320)
Other Biosynthetic	PF10945		Protein of unknown function (DUF2629)
Other Biosynthetic	PF00930		Dipeptidyl peptidase IV (DPP IV) N-terminal region
Other Biosynthetic	PF00764		Arginosuccinate synthase
Other Biosynthetic	PF03441		FAD binding domain of DNA photolyase
Other Biosynthetic	PF09924		Uncharacterized conserved protein (DUF2156)
Other Biosynthetic	PF11120		Protein of unknown function (DUF2636)
Other Biosynthetic	PF11444		Protein of unknown function (DUF2895)
Other Biosynthetic	PF07143		Hydroxyneurosporene synthase (CrtC)
Other Biosynthetic	PF01966		HD domain
Other Biosynthetic	PF06176		Lipopolysaccharide core biosynthesis protein (WaaY)
Other Biosynthetic	PF11964		Protein of unknown function (DUF3478)
Other Biosynthetic	PF11990		Protein of unknown function (DUF3487)
Other Biosynthetic	PF12303		Membrane bound L-sorbosone dehydrogenase
Other Biosynthetic	PF00866		Ring hydroxylating beta subunit
Other Biosynthetic	PF05163		DinB family
Other Biosynthetic	PF09242		Flavocytochrome c sulphide dehydrogenase, flavin-binding
Other Biosynthetic	PF05791		Bacillus haemolytic enterotoxin (HBL)
Other Biosynthetic	PF01804		Penicillin amidase
Other Biosynthetic	PF02595		Glycerate kinase family
Other Biosynthetic	PF00331		Glycosyl hydrolase family 10
Other Biosynthetic	PF03928		Domain of unknown function (DUF336)
Other Biosynthetic	PF11984		Protein of unknown function (DUF3485)
Other Biosynthetic	PF04488		Glycosyltransferase sugar-binding region containing DXD motif
Other Biosynthetic	PF11845		Protein of unknown function (DUF3365)
Other Biosynthetic	PF03780		Protein of unknown function (DUF322)
Other Biosynthetic	PF11190		Protein of unknown function (DUF2976)
Other Biosynthetic	PF07626		Protein of unknown function (DUF1587)
Other Biosynthetic	PF02729		Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain
Other Biosynthetic	PF06441		Epoxide hydrolase N terminus
Other Biosynthetic	PF02798		Glutathione S-transferase, N-terminal domain
Other Biosynthetic	PF05257		CHAP domain
Other Biosynthetic	PF03777		Small secreted domain (DUF320)
Other Biosynthetic	PF00211		Adenylate and Guanylate cyclase catalytic domain
Other Biosynthetic	PF00185		Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
Other Biosynthetic	PF11553		Protein of unknown function (DUF3231)
Other Biosynthetic	PF00848		Ring hydroxylating alpha subunit (catalytic domain)
Other Biosynthetic	PF00160		Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Other Biosynthetic	PF06865		Protein of unknown function (DUF1255)
Other Biosynthetic	PF00043		Glutathione S-transferase, C-terminal domain
Other Biosynthetic	PF01081		KDPG and KHG aldolase
Other Biosynthetic	PF01855		domain
Other Biosynthetic	PF11829		Protein of unknown function (DUF3349)
Other Biosynthetic	PF11072		Protein of unknown function (DUF2859)
Other Biosynthetic	PF06163		Bacterial protein of unknown function (DUF977)
Other Biosynthetic	PF07624		Protein of unknown function (DUF1585)
Other Biosynthetic	PF08267		Cobalamin-independent synthase, N-terminal domain
Other Biosynthetic	PF01208		Uroporphyrinogen decarboxylase (URO-D)
Other Biosynthetic	PF03795		YCII-related domain
Other Biosynthetic	PF00754		F5/8 type C domain
Other Biosynthetic	PF08006		Protein of unknown function (DUF1700)
Other Biosynthetic	PF02633		Creatinine amidohydrolase
Other Biosynthetic	PF01210		NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus
Other Biosynthetic	PF01521		Iron-sulphur cluster biosynthesis
Other Biosynthetic	PF00491		Arginase family
Other Biosynthetic	PF11659		Protein of unknown function (DUF3261)
Other Biosynthetic	PF11268		Protein of unknown function (DUF3071)
Other Biosynthetic	PF02287		Dehydratase small subunit
Other Biosynthetic	PF03167		Uracil DNA glycosylase superfamily
Other Biosynthetic	PF02286		Dehydratase large subunit
Other Biosynthetic	PF11101		Protein of unknown function (DUF2884)
Other Biosynthetic	PF00675		Insulinase (Peptidase family M16)
Other Biosynthetic	PF03583		Secretory lipase
Other Biosynthetic	PF01220		Dehydroquinase class II
Other Biosynthetic	PF01791		DeoC/LacD family aldolase
Other Biosynthetic	PF00190		Cupin
Other Biosynthetic	PF02475		Met-10+ like-protein
Other Biosynthetic	PF06182		Protein of unknown function (DUF990)
Other Biosynthetic	PF10979		Protein of unknown function (DUF2786)
Other Biosynthetic	PF06254		Protein of unknown function (DUF1019)
Other Biosynthetic	PF07252		Protein of unknown function (DUF1433)
Other Biosynthetic	PF07940		Heparinase II/III-like protein
Other Biosynthetic	PF03320		Bacterial fructose-1,6-bisphosphatase, glpX-encoded
Other Biosynthetic	PF00722		Glycosyl hydrolases family 16
Other Biosynthetic	PF09163		Formate dehydrogenase N, transmembrane
Other Biosynthetic	PF00342		Phosphoglucose isomerase
Other Biosynthetic	PF10066		Uncharacterized conserved protein (DUF2304)
Other Biosynthetic	PF08044		Domain of unknown function (DUF1707)
Other Biosynthetic	PF11660		Protein of unknown function (DUF3262)
Other Biosynthetic	PF00912		Transglycosylase
Other Biosynthetic	PF07931		Chloramphenicol phosphotransferase-like protein
Other Biosynthetic	PF02156		Glycosyl hydrolase family 26
Other Biosynthetic	PF12390		Selenocysteine synthase N terminal
Other Biosynthetic	PF00795		Carbon-nitrogen hydrolase
Other Biosynthetic	PF03988		Repeat of Unknown Function (DUF347)
Other Biosynthetic	PF11898		Domain of unknown function (DUF3418)
Other Biosynthetic	PF03717		Penicillin-binding Protein dimerisation domain
Other Biosynthetic	PF08841		Diol dehydratase reactivase ATPase-like domain
Other Biosynthetic	PF08660		Oligosaccharide biosynthesis protein Alg14 like
Other Biosynthetic	PF00797		N-acetyltransferase
Other Biosynthetic	PF00186		Dihydrofolate reductase
Other Biosynthetic	PF10672		S-adenosylmethionine-dependent methyltransferase
Other Biosynthetic	PF11836		Protein of unknown function (DUF3356)
Other Biosynthetic	PF03070		TENA/THI-4/PQQC family
Other Biosynthetic	PF00709		Adenylosuccinate synthetase
Other Biosynthetic	PF01227		GTP cyclohydrolase I
Other Biosynthetic	PF07995		Glucose / Sorbosone dehydrogenase
Other Biosynthetic	PF09913		Predicted membrane protein (DUF2142)
Other Biosynthetic	PF02602		Uroporphyrinogen-III synthase HemD
Other Biosynthetic	PF00990		GGDEF domain
Other Biosynthetic	PF10990		Protein of unknown function (DUF2809)
Other Biosynthetic	PF12029		Domain of unknown function (DUF3516)
Other Biosynthetic	PF07110		EthD protein
Other Biosynthetic	PF05343		M42 glutamyl aminopeptidase
Other Biosynthetic	PF12544		Lysine-2,3-aminomutase
Other Biosynthetic	PF01558		Pyruvate ferredoxin/flavodoxin oxidoreductase
Other Biosynthetic	PF05118		Aspartyl/Asparaginyl beta-hydroxylase
Other Biosynthetic	PF11004		Protein of unknown function (DUF2843)
Other Biosynthetic	PF08354		Domain of unknown function (DUF1729)
Other Biosynthetic	PF05544		Proline racemase
Other Biosynthetic	PF12255		Insecticide toxin TcdB middle/C-terminal region
Other Biosynthetic	PF11106		Exopolysaccharide production protein YjbE
Other Biosynthetic	PF07521		RNA-metabolising metallo-beta-lactamase
Other Biosynthetic	PF01755		Glycosyltransferase family 25 (LPS biosynthesis protein)
Other Biosynthetic	PF07338		Protein of unknown function (DUF1471)
Other Biosynthetic	PF07224		Chlorophyllase
Other Biosynthetic	PF07109		Magnesium-protoporphyrin IX methyltransferase C-terminus
Other Biosynthetic	PF00768		D-alanyl-D-alanine carboxypeptidase
Other Biosynthetic	PF11234		Protein of unknown function (DUF3036)
Other Biosynthetic	PF02036		SCP-2 sterol transfer family
Other Biosynthetic	PF03900		Porphobilinogen deaminase, C-terminal domain
Other Biosynthetic	PF07862		Nitrogen fixation protein of unknown function
Other Biosynthetic	PF12555		Thiamine pyrophosphokinase C terminal
Other Biosynthetic	PF01379		Porphobilinogen deaminase, dipyromethane cofactor binding domain
Other Biosynthetic	PF11255		Protein of unknown function (DUF3054)
Other Biosynthetic	PF07717		Domain of unknown function (DUF1605)
Other Biosynthetic	PF01915		Glycosyl hydrolase family 3 C terminal domain
Other Biosynthetic	PF09922		Predicted membrane protein (DUF2154)
Other Biosynthetic	PF07739		TipAS antibiotic-recognition domain
Other Biosynthetic	PF01531		Glycosyl transferase family 11
Other Biosynthetic	PF07479		NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
Other Biosynthetic	PF04673		Polyketide synthesis cyclase
Other Biosynthetic	PF12000		Domain of unknown function (DUF3495)
Other Biosynthetic	PF06974		Protein of unknown function (DUF1298)
Other Biosynthetic	PF00198		2-oxoacid dehydrogenases acyltransferase (catalytic domain)
Other Biosynthetic	PF03756		A-factor biosynthesis repeat
Other Biosynthetic	PF02449		Beta-galactosidase
Other Biosynthetic	PF00745		Glutamyl-tRNAGlu reductase, dimerisation domain
Other Biosynthetic	PF07789		Protein of unknown function (DUF1627)
Other Biosynthetic	PF00264		Common central domain of tyrosinase
Other Biosynthetic	PF00670		S-adenosyl-L-homocysteine hydrolase, NAD binding domain
Other Biosynthetic	PF00330		Aconitase family (aconitate hydratase)
Other Biosynthetic	PF07302		AroM protein
Other Biosynthetic	PF00814		Glycoprotease family
Other Biosynthetic	PF01019		Gamma-glutamyltranspeptidase
Other Biosynthetic	PF00230		Major intrinsic protein
Other Biosynthetic	PF01728		FtsJ-like methyltransferase
Other Biosynthetic	PF05726		Pirin C-terminal cupin domain
Other Biosynthetic	PF11337		Protein of unknown function (DUF3139)
Other Biosynthetic	PF11959		Domain of unknown function (DUF3473)
Other Biosynthetic	PF06259		Alpha/beta hydrolase of unknown function (DUF1023)
Other Biosynthetic	PF03205		Molybdopterin guanine dinucleotide synthesis protein B
Other Biosynthetic	PF11222		Protein of unknown function (DUF3017)
Other Biosynthetic	PF02958		Domain of unknown function (DUF227)
Other Biosynthetic	PF05908		Protein of unknown function (DUF867)
Other Biosynthetic	PF05141		Pyoverdine/dityrosine biosynthesis protein
Other Biosynthetic	PF05402		Coenzyme PQQ synthesis protein D (PqqD)
Other Biosynthetic	PF01493		GXGXG motif
Other Biosynthetic	PF12566		Protein of unknown function (DUF3748)
Other Biosynthetic	PF04304		Protein of unknown function (DUF454)
Other Biosynthetic	PF03447		Homoserine dehydrogenase, NAD binding domain
Other Biosynthetic	PF03055		Retinal pigment epithelial membrane protein
Other Biosynthetic	PF05899		Protein of unknown function (DUF861)
Other Biosynthetic	PF00731		AIR carboxylase
Other Biosynthetic	PF11042		Protein of unknown function (DUF2750)
Other Biosynthetic	PF07693		KAP family P-loop domain
Other Biosynthetic	PF04657		Protein of unknown function, DUF606
Other Biosynthetic	PF01841		Transglutaminase-like superfamily
Other Biosynthetic	PF09321		Domain of unknown function (DUF1978)
Other Biosynthetic	PF11452		Protein of unknown function (DUF3000)
Other Biosynthetic	PF10832		Protein of unknown function (DUF2559)
Other Biosynthetic	PF05917		Helicobacter pylori protein of unknown function (DUF874)
Other Biosynthetic	PF07161		Protein of unknown function (DUF1396)
Other Biosynthetic	PF06551		Protein of unknown function (DUF1120)
Other Biosynthetic	PF01244		Membrane dipeptidase (Peptidase family M19)
Other Biosynthetic	PF04977		Septum formation initiator
Other Biosynthetic	PF02522		Aminoglycoside 3-N-acetyltransferase
Other Biosynthetic	PF08608		Wyosine base formation
Other Biosynthetic	PF01643		Acyl-ACP thioesterase
Other Biosynthetic	PF02600		Disulfide bond formation protein DsbB
Other Biosynthetic	PF11382		Protein of unknown function (DUF3186)
Other Biosynthetic	PF11151		Protein of unknown function (DUF2929)
Other Biosynthetic	PF10954		Protein of unknown function (DUF2755)
Other Biosynthetic	PF10953		Protein of unknown function (DUF2754)
Other Biosynthetic	PF02551		Acyl-CoA thioesterase
Other Biosynthetic	PF00199		Catalase
Other Biosynthetic	PF07166		Protein of unknown function (DUF1398)
Other Biosynthetic	PF07284		2-vinyl bacteriochlorophyllide hydratase (BCHF)
Other Biosynthetic	PF04898		Glutamate synthase central domain
Other Biosynthetic	PF00089		Trypsin
Other Biosynthetic	PF07978		NIPSNAP
Other Biosynthetic	PF08338		Domain of unknown function (DUF1731)
Other Biosynthetic	PF11339		Protein of unknown function (DUF3141)
Other Biosynthetic	PF05960		Bacterial protein of unknown function (DUF885)
Other Biosynthetic	PF07006		Protein of unknown function (DUF1310)
Other Biosynthetic	PF05768		Glutaredoxin-like domain (DUF836)
Other Biosynthetic	PF00591		Glycosyl transferase family, a/b domain
Other Biosynthetic	PF10989		Protein of unknown function (DUF2808)
Other Biosynthetic	PF02607		B12 binding domain
Other Biosynthetic	PF00701		Dihydrodipicolinate synthetase family
Other Biosynthetic	PF08820		Domain of unknown function (DUF1803)
Other Biosynthetic	PF06470		SMC proteins Flexible Hinge Domain
Other Biosynthetic	PF11941		Domain of unknown function (DUF3459)
Other Biosynthetic	PF07470		Glycosyl Hydrolase Family 88
Other Biosynthetic	PF07685		CobB/CobQ-like glutamine amidotransferase domain
Other Biosynthetic	PF02366		Dolichyl-phosphate-mannose-protein mannosyltransferase
Other Biosynthetic	PF02562		PhoH-like protein
Other Biosynthetic	PF05872		Bacterial protein of unknown function (DUF853)
Other Biosynthetic	PF11871		Domain of unknown function (DUF3391)
Other Biosynthetic	PF00180		Isocitrate/isopropylmalate dehydrogenase
Other Biosynthetic	PF09967		Predicted metallopeptidase (DUF2201)
Other Biosynthetic	PF07167		Poly-beta-hydroxybutyrate polymerase (PhaC) N-terminus
Other Biosynthetic	PF09286		Pro-kumamolisin, activation domain
Other Biosynthetic	PF11343		Protein of unknown function (DUF3145)
Other Biosynthetic	PF07922		Glycosyltransferase family 52
Other Biosynthetic	PF08445		FR47-like protein
Other Biosynthetic	PF08532		Beta-galactosidase trimerisation domain
Other Biosynthetic	PF10662		Ethanolamine utilisation - propanediol utilisation
Other Biosynthetic	PF05893		Acyl-CoA reductase (LuxC)
Other Biosynthetic	PF00298		Ribosomal protein L11, RNA binding domain
Other Biosynthetic	PF07021		Methionine biosynthesis protein MetW
Other Biosynthetic	PF00343		Carbohydrate phosphorylase
Other Biosynthetic	PF05221		S-adenosyl-L-homocysteine hydrolase
Other Biosynthetic	PF03319		Ethanolamine utilisation protein EutN/carboxysome
Other Biosynthetic	PF05656		Protein of unknown function (DUF805)
Other Biosynthetic	PF02550		Acetyl-CoA hydrolase/transferase N-terminal domain
Other Biosynthetic	PF11258		Protein of unknown function (DUF3048)
Other Biosynthetic	PF09752		Uncharacterized conserved protein (DUF2048)
Other Biosynthetic	PF04616		Glycosyl hydrolases family 43
Other Biosynthetic	PF04007		Protein of unknown function (DUF354)
Other Biosynthetic	PF12616		Protein of unknown function (DUF3775)
Other Biosynthetic	PF09995		Uncharacterized protein conserved in bacteria (DUF2236)
Other Biosynthetic	PF08003		Protein of unknown function (DUF1698)
Other Biosynthetic	PF04224		Protein of unknown function, DUF417
Other Biosynthetic	PF11379		Protein of unknown function (DUF3182)
Other Biosynthetic	PF06778		Chlorite dismutase
Other Biosynthetic	PF07812		TfuA-like protein
Other Biosynthetic	PF12006		Protein of unknown function (DUF3500)
Other Biosynthetic	PF12250		Arabinofuranosyltransferase N terminal
Other Biosynthetic	PF11683		Protein of unknown function (DUF3278)
Other Biosynthetic	PF03936		Terpene synthase family, metal binding domain
Other Biosynthetic	PF00056		lactate/malate dehydrogenase, NAD binding domain
Other Biosynthetic	PF10282		3-carboxy-cis,cis-muconate lactonizing enzyme
Other Biosynthetic	PF00923		Transaldolase
Other Biosynthetic	PF08924		Domain of unknown function (DUF1906)
Other Biosynthetic	PF11533		Protein of unknown function (DUF3225)
Other Biosynthetic	PF01035		6-O-methylguanine DNA methyltransferase, DNA binding domain
Other Biosynthetic	PF03142		Chitin synthase
Other Biosynthetic	PF01571		Aminomethyltransferase folate-binding domain
Other Biosynthetic	PF03150		Di-haem cytochrome c peroxidase
Other Biosynthetic	PF02590		Predicted SPOUT methyltransferase
Other Biosynthetic	PF02866		lactate/malate dehydrogenase, alpha/beta C-terminal domain
Other Biosynthetic	PF11676		Protein of unknown function (DUF3272)
Other Biosynthetic	PF04223		Citrate lyase, alpha subunit (CitF)
Other Biosynthetic	PF11300		Protein of unknown function (DUF3102)
Other Biosynthetic	PF07944		Putative glycosyl hydrolase of unknown function (DUF1680)
Other Biosynthetic	PF03642		MAP domain
Other Biosynthetic	PF11907		Domain of unknown function (DUF3427)
Other Biosynthetic	PF08592		Domain of unknown function (DUF1772)
Other Biosynthetic	PF07593		ASPIC and UnbV
Other Biosynthetic	PF11010		Protein of unknown function (DUF2848)
Other Biosynthetic	PF12084		Protein of unknown function (DUF3561)
Other Biosynthetic	PF04443		Acyl-protein synthetase, LuxE
Other Biosynthetic	PF10026		Predicted Zn-dependent protease (DUF2268)
Other Biosynthetic	PF03881		Fructosamine kinase
Other Biosynthetic	PF00174		Oxidoreductase molybdopterin binding domain
Other Biosynthetic	PF11897		Protein of unknown function (DUF3417)
Other Biosynthetic	PF05724		Thiopurine S-methyltransferase (TPMT)
Other Biosynthetic	PF09550		Conserved hypothetical phage protein (DUF2376)
Other Biosynthetic	PF01627		Hpt domain
Other Biosynthetic	PF12244		Protein of unknown function (DUF3606)
Other Biosynthetic	PF05621		Bacterial TniB protein
Other Biosynthetic	PF12291		Protein of unknown function (DUF3623)
Other Biosynthetic	PF11755		Protein of unknown function (DUF3311)
Other Biosynthetic	PF01182		Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
Other Biosynthetic	PF11846		Domain of unknown function (DUF3366)
Other Biosynthetic	PF00809		Pterin binding enzyme
Other Biosynthetic	PF05019		Coenzyme Q (ubiquinone) biosynthesis protein Coq4
Other Biosynthetic	PF10027		Predicted integral membrane protein (DUF2269)
Other Biosynthetic	PF00775		Dioxygenase
Other Biosynthetic	PF02446		4-alpha-glucanotransferase
Other Biosynthetic	PF03422		Carbohydrate binding module (family 6)
Other Biosynthetic	PF02450		Lecithin cholesterol acyltransferase
Other Biosynthetic	PF05857		TraX protein
Other Biosynthetic	PF02911		Formyl transferase, C-terminal domain
Other Biosynthetic	PF02709		Galactosyltransferase
Other Biosynthetic	PF07242		Protein of unknown function (DUF1430)
Other Biosynthetic	PF03047		COMC family
Other Biosynthetic	PF08534		Redoxin
Other Biosynthetic	PF11228		Protein of unknown function (DUF3027)
Other Biosynthetic	PF00275		EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
Other Biosynthetic	PF12101		Protein of unknown function (DUF3577)
Other Biosynthetic	PF12249		Arabinofuranosyltransferase A C terminal
Other Biosynthetic	PF04971		Lysis protein S
Other Biosynthetic	PF07858		Limonene-1,2-epoxide hydrolase catalytic domain
Other Biosynthetic	PF12091		Protein of unknown function (DUF3567)
Other Biosynthetic	PF00834		Ribulose-phosphate 3 epimerase family
Other Biosynthetic	PF06191		Protein of unknown function (DUF995)
Other Biosynthetic	PF07501		G5 domain
Other Biosynthetic	PF12368		Protein of unknown function (DUF3650)
Other Biosynthetic	PF04320		Protein with unknown function (DUF469)
Other Biosynthetic	PF12128		Protein of unknown function (DUF3584)
Other Biosynthetic	PF11664		Protein of unknown function (DUF3264)
Other Biosynthetic	PF00882		Zinc dependent phospholipase C
Other Biosynthetic	PF04655		Aminoglycoside/hydroxyurea antibiotic resistance kinase
Other Biosynthetic	PF03266		Protein of unknown function, DUF265
Other Biosynthetic	PF05420		Cellulose synthase operon protein C C-terminus (BCSC_C)
Other Biosynthetic	PF06605		Protein of unknown function (DUF1142)
Other Biosynthetic	PF05707		Zonular occludens toxin (Zot)
Other Biosynthetic	PF06988		NifT/FixU protein
Other Biosynthetic	PF11814		Domain of unknown function (DUF3335)
Other Biosynthetic	PF11392		Protein of unknown function (DUF2877)
Other Biosynthetic	PF03971		Monomeric isocitrate dehydrogenase
Other Biosynthetic	PF10014		Uncharacterized protein conserved in bacteria (DUF2257)
Other Biosynthetic	PF03413		Peptidase propeptide and YPEB domain
Other Biosynthetic	PF00370		FGGY family of carbohydrate kinases, N-terminal domain
Other Biosynthetic	PF00218		Indole-3-glycerol phosphate synthase
Other Biosynthetic	PF11314		Protein of unknown function (DUF3117)
Other Biosynthetic	PF02673		Bacitracin resistance protein BacA
Other Biosynthetic	PF03602		Conserved hypothetical protein 95
Other Biosynthetic	PF12318		Membrane bound FAD containing D-sorbitol dehydrogenase
Other Biosynthetic	PF00656		Caspase domain
Other Biosynthetic	PF06737		Transglycosylase-like domain
Other Biosynthetic	PF00484		Carbonic anhydrase
Other Biosynthetic	PF06500		Alpha/beta hydrolase of unknown function (DUF1100)
Other Biosynthetic	PF04551		GcpE protein
Other Biosynthetic	PF08669		Glycine cleavage T-protein C-terminal barrel domain
Other Biosynthetic	PF11854		Protein of unknown function (DUF3374)
Other Biosynthetic	PF03771		Domain of unknown function (DUF317)
Other Biosynthetic	PF05651		Putative sugar diacid recognition
Other Biosynthetic	PF11666		Protein of unknown function (DUF2933)
Other Biosynthetic	PF11893		Domain of unknown function (DUF3413)
Other Biosynthetic	PF08861		Domain of unknown function DUF1828
Other Biosynthetic	PF10745		Protein of unknown function (DUF2530)
Other Biosynthetic	PF02837		Glycosyl hydrolases family 2, sugar binding domain
Other Biosynthetic	PF11578		Protein of unknown function (DUF3237)
Other Biosynthetic	PF01674		Lipase (class 2)
Other Biosynthetic	PF01661		Macro domain
Other Biosynthetic	PF11949		Protein of unknown function (DUF3466)
Other Biosynthetic	PF12097		Protein of unknown function (DUF3573)
Other Biosynthetic	PF07091		Ribosomal RNA methyltransferase (FmrO)
Other Biosynthetic	PF07098		Protein of unknown function (DUF1360)
Other Biosynthetic	PF12079		Protein of unknown function (DUF3558)
Other Biosynthetic	PF11271		Protein of unknown function (DUF3068)
Other Biosynthetic	PF02485		Core-2/I-Branching enzyme
Other Biosynthetic	PF07756		Protein of unknown function (DUF1612)
Other Biosynthetic	PF01427		D-ala-D-ala dipeptidase
Other Biosynthetic	PF11253		Protein of unknown function (DUF3052)
Other Biosynthetic	PF12005		Protein of unknown function (DUF3499)
Other Biosynthetic	PF03255		Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
Other Biosynthetic	PF02836		Glycosyl hydrolases family 2, TIM barrel domain
Other Biosynthetic	PF06071		Protein of unknown function (DUF933)
Other Biosynthetic	PF02965		Vitamin B12 dependent methionine synthase, activation domain
Other Biosynthetic	PF03738		Glutathionylspermidine synthase
Other Biosynthetic	PF11177		Protein of unknown function (DUF2964)
Other Biosynthetic	PF03031		NLI interacting factor-like phosphatase
Other Biosynthetic	PF03695		Uncharacterised protein family (UPF0149)
Other Biosynthetic	PF02086		D12 class N6 adenine-specific DNA methyltransferase
